"Enter a Complain (20-40 words)

ex: about Bad roads, sewage clogging, electricity pole etc",Department Name,,
"the roads near my house is broken and collects rain water during rainy season, This is leading to accidents and  breeding of mosquitos.",Road Department,Pest Control,
"There are no utility poles in the area which makes it really difficult to move out in the evening, night & early morning due to the dark.",Electricity Department,,
The sewer line in my area Pragati Vihar - Phase 1 is clogged for few days & causing slower access to toilets ,Sewage,,
"A dog met with a car accident, His body is rotten and is producing a foul smell.",Biohazard,,
"The sewers are very narrow in my locality which results in a clog during rainy seasons, The waste around the sewers also lead to the clogging.",Sewage,,
Their are not proper public toilets in the locality hence it results in unhygienic surrounding.  ,Public Toilets,,
The electric pole near our  house is damaged and broken wires are hanging from it.,Electricity Department,,
"My locality has no parks for children. The children end up playing on roads which can be very dangerous. There is space available for cunstructing one, please look into its possibility",Urban Amenities,,
The sewers are jammed because of excessive waste on the roads. ,Sewage,Waste Management,
During the rainy season the roads are clogged with waste that is not cleaned properly. Please send a waste management team to look into the situation.,Waste Management,,
"I am Mukesh & I live near the central city park. Me and a lot of other people go there for walk and exercise, kids come to play in the swings etc. But it has been over a year since it was last repaired. It is in very poor condition and people are facing issues with the running track, water tank, broken boundaries,  broken swings etc. Please try to fix them as soon as possible.",Urban Amenities,,
The road near my house is full of potholes and is in dire need of repair.,Road Department,,
The construction on the main road near my workplace is taking too long and causing traffic delays.,Road Department,,
The small width of the road in my neighborhood is causing dangerous traffic congestion.,Road Department,,
The lack of proper signage on the road near my school is causing confusion and making it difficult to navigate.,Road Department,,
The road in front of my business is in poor condition and is causing damage to vehicles.,Road Department,,
"The road near the park is uneven and not properly maintained, making it difficult to walk or bike on.",Road Department,,
The road near the hospital is under construction and is causing major traffic delays for emergency vehicles.,Road Department,,
"The road near the shopping center is poorly lit, making it unsafe for pedestrians to come at late night.",Electricity Department,,
The road near the senior center is not accessible for those with mobility impairments.,Road Department,,
The road near the train station is in poor condition and needs to be repaved.,Road Department,,
The road near the library is not properly maintained and is causing damage to cars.,Road Department,,
The road near the community center is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the sports complex is in poor condition and needs to be repaved.,Road Department,,
The road near the church is not properly maintained and is causing damage to cars.,Road Department,,
The road near the post office is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the grocery store is in poor condition and needs to be repaved.,Road Department,,
The road near the fire station is not properly maintained and is causing damage to cars.,Road Department,,
The road near the police station is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the city hall is in poor condition and needs to be repaved.,Road Department,,
The road near the landfill is not properly maintained and is causing damage to cars.,Road Department,,
The road near the waste management facility is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the water treatment plant is in poor condition and needs to be repaved.,Road Department,,
The road near the power plant is not properly maintained and is causing damage to cars.,Road Department,,
The road near the sewage treatment plant is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the recycling facility is in poor condition and needs to be repaved.,Road Department,,
The road near the landfill is not properly maintained and is causing damage to cars.,Road Department,,
The road near the waste management facility is too narrow and is causing traffic congestion during peak hours.,Road Department,,
The road near the water treatment plant is in poor condition and needs to be repaved.,Road Department,,
The road near the power plant is not properly maintained and is causing damage to cars.,Road Department,,
The road near the sewage treatment plant is too narrow and is causing traffic congestion during peak hours,Road Department,Sewage,
Electric Bill Always High ,Electricity Department,,
Bulbs Burning Out Frequently in my area,Electricity Department,,
"it’s about the poor sewage system in my area. People in our locality are suffering a lot due to the faulty pipelines in the sewage system. Because of the sewage problem, we face unhygienic conditions in our area.",Sewage,,
"the open and damaged Manholes.
Some pedestrians noticed that the open manholes are found almost everywhere, which are death traps for people, especially at night and during the rainy season when the roads are inundated with water covering the manholes unnoticed.",Sewage,,
The wastewater is getting accumulated in our locality and there due to improper sewage systems.,Sewage,,
"Sewer lines are designed to last for many years, but they can eventually break down due to age or sudden changes in the ground.I suspect  sewer line has shifted.",Road Department,Sewage,
water Pipe corrosion  problem are leading to severe damage and expensive repairs. ,Water Department,,
Public restroom are prone to heavy footfall which subjects restroom Broken door accessories in my locality.,Public Toilets,,
"Poor ventilation is another major problem that users face in public restrooms. Without a constant flow of fresh air, pungent smells reign supreme and there is a concentration of pathogens in the air.",Public Toilets,,
Used sanitary napkins lying everywhere make for a nauseous sight in public toilet near my area.,Public Toilets,,
"public toilet door latches are not working properly, making it unsafe to use.",Public Toilets,,
Water taps don't work and at times there's no water in my locality,Water Department,,
Flushes are not working mostly in my locality. There's no jet of hand shower and there's a broken mug. How do you clean with a mug on an English toilet ?,Public Toilets,,
For the last four months the road has been almost impassable. We have made several complaints. But the problem is being neglected for a long time. The surface of the road is broken by the heavy rains and blocked by the garbage. There are heaps of road material on both sides of the road.,Road Department,Waste Management,
 the road gets flooded even after a slight rain in my locality. There are pot-holes on the road. The broken culvert is also a danger for vehicles.,Road Department,,
"There are a lots of problems due the construction of road in my area. the public has to face the problems such as traffic disarrangement, accident etc. People cannot go to their  place in required time.",Road Department,,
near my locality there  without proper water supply dispose their waste in an unplanned manner which pollute air and water.,Water Department,Waste Management,
The electric power cut in this area is causing waste-treatment systems shutting down. Which is causing decrease in its daily-throughput and hence decrease in the frequency of the waste picking trucks to pick the waste.,Electricity Department,Waste Management,
the path connecting my village to the city is having holes and cracks in it. It is really risky and challenging for everyone to travel on this path. ,Road Department,,
the path connecting my village to the city is having holes and cracks in it. Also It becomes really difficult to travel at night as there is no utility poles or electric poles on the way,Road Department,Electricity Department,
"The way is not litted properly, it become difficult to travel at night. ",Electricity Department,,
The streets are not luminated properly as there are not enough electric poles. ,Electricity Department,,
The roads and streets are not luminated properly,Electricity Department,,
There a need of urgent pest control in locality as a lot of garbage is being dumped improperly in our area. ,Waste Management,Pest Control,
"The waste, garbage is not being treated properly. It is causing a great damage to the atmosphere around it. ",Waste Management,,
There is a urgent fix required for underground pipelines. As we are getting dirty water through the pipelines. ,Water Department,,
There are no govt schools in my locality. ,Urban Amenities,Urban Amenities,
Dirty roads and clogged sewage,Sewage,Waste Management,
Bad roads not good to walk and run ,Road Department,,
Segregation of waste is not being done properly at the facility causing problem in recycling process,Waste Management,,
Sewage system not upto mark during rainy times,Sewage,,
Bad roads and Industrial construction,Road Department,Urban Amenities,
"There are public toilets available but they are too dirty and stinky to use, I mean there is no point in making public toilets if there isn't a team made in order to maintain them on a regular basis ,I want you to work on the problem and come with an appropriate solution. ",Public Toilets,,
sewage clogging in my area,Sewage,,
In so many places have problems of construction of public toilets whenever I go to public toilets i have never a good construction of public toilets.,Public Toilets,,
The road of my colony is so bad. All the time when I walk on that road my cloths get so dusty and in rainy season my foot wear get wet and clothes also gets dirty.,Road Department,Sewage,
Roads are damaged and water usually stores in them.,Road Department,,
"There is no format of waste management. Even our roads, river are very dirty nd because of this people are facing lots of problems in terms of health , pollution etc",Waste Management,,
The condition of roads quite questionable there are big holes and damaged road here and there and the waste disposal management of town is very bad they throw garbage at the river bank or off the hill which is a serious matter as it is causing pollution here and there. The community should make a proper garbage disposal plant and dispose the waste instead of throwing it somewhere where animals or wind will scatter it. It is a serious matter which should be taken into consideration immediately.,Road Department,Waste Management,Public Toilets
Bad roads ,Road Department,,
"This is developed city but in government doesn't provide fresh water, the water is very salty.",Water Department,,
My concern is about the wires hanging around the tress and buildings which is i think very dangerous for public as well as for other living things. ,Electricity Department,,
The roads are sometimes so dirty and even though people keeps littering on it . It needs proper attention from the respective department.,Waste Management,,
"Bad roads, Encroachment and possession of land, street is not working well, No law and order.",Road Department,Urban Amenities,
Proper Garbage disposal facilities are not provided to public,Waste Management,,
No roads at all I mean from walking distance from my home to Main road there is no causeway at all we have to Walk if there is raining ,Road Department,,
The roads in the City area are not proper.Due to that many accidents take place. Government should work on it.,Road Department,,
"The poor maintenance of the garden around our residential area and the improper disposal of waste. The garden around the residential area was watered regularly, and grass shrubs were trimmed and maintained neatly in the beginning. It has been more than a month now since any kind of maintenance is done in the garden. We have tried contacting the person in charge, but every effort has just been in vain.",Waste Management,Urban Amenities,
Part of highways has potholes and are in bad condition. Roadways are a daily medium of travelling and yet aren't maintained. ,Road Department,,
Polluting of the rivers,Water Department,,
The frequent power cuts in my area are causing major inconvenience and disruption to my daily life.,Electricity Department,,
The street lights in my neighborhood are not working properly and need to be fixed or replaced.,Electricity Department,,
The coverage of street lights in my area is inadequate and needs to be increased for safety reasons.,Electricity Department,,
The voltage fluctuations in my area are causing damage to my electronic devices.,Electricity Department,,
I have been receiving wrong and disproportionate bills for my electricity usage.,Electricity Department,,
My electricity was disconnected without notice and without any reason.,Electricity Department,,
I received a bill for electricity usage without any meter reading.,Electricity Department,,
The street lights in the park near my house are not working and need to be fixed.,Electricity Department,,
The street lights on the main road near my workplace are not adequate and need to be increased.,Electricity Department,,
The power cuts in my area are frequent and causing major inconvenience to my business.,Electricity Department,,
The street lights on the road near my school are not working properly and need to be fixed.,Electricity Department,,
The voltage fluctuations in my area are causing damage to my appliances.,Electricity Department,,
"I received a bill for electricity usage that is much higher than usual, with no explanation.",Electricity Department,,
The street lights on the road near my house are not adequate and need to be increased.,Electricity Department,,
My electricity was disconnected without any warning or explanation.,Electricity Department,,
I received a bill for electricity usage without any meter reading.,Electricity Department,,
The power cuts in my area are frequent and causing major inconvenience to my daily life.,Electricity Department,,
The street lights on the road near my business are not working properly and need to be fixed.,Electricity Department,,
The street lights in my neighborhood are not adequate and need to be increased for safety reasons.,Electricity Department,,
The voltage fluctuations in my area are causing damage to my electronic devices.,Electricity Department,,
I have been receiving wrong and disproportionate bills for my electricity usage.,Electricity Department,,
The street lights on the road near my school are not working properly and need to be fixed.,Electricity Department,,
My electricity was disconnected without notice and without any reason.,Electricity Department,,
I received a bill for electricity usage without any meter reading.,Electricity Department,,
The power cuts in my area are frequent and causing major inconvenience to my business.,Electricity Department,,
The street lights on the road near my house are not adequate and need to be increased.,Electricity Department,,
The voltage fluctuations in my area are causing damage to my appliances.,Electricity Department,,
"I received a bill for electricity usage that is much higher than usual, with no explanation.",Electricity Department,,
The street lights on the road near my workplace are not adequate and need to be increased.,Electricity Department,,
My electricity was disconnected without any warning or explanation.,Electricity Department,,
I received a bill for electricity usage without any meter reading.,Electricity Department,,
The power cuts in my area are frequent and causing major inconvenience to my daily life.,Electricity Department,,
The street lights on the road near my business are not working properly and need to be fixed.,Electricity Department,,
The street lights in my neighborhood are not adequate and need to be increased for safety reasons.,Electricity Department,,
The voltage fluctuations in my area are causing damage to my electronic devices.,Electricity Department,,
I have been receiving wrong and disproportionate bills for my electricity usage.,Electricity Department,,
The street lights on the road near my school are not working properly and need to be fixed.,Electricity Department,,
My electricity was disconnected without notice and without any reason.,Electricity Department,,
I received a bill for electricity usage without any meter reading.,Electricity Department,,
The power cuts in my area are frequent and causing major inconvenience to my business.,Electricity Department,,
The street lights on the road near my house are not adequate and need to be increased.,Electricity Department,,
The voltage fluctuations in my area are causing damage,Electricity Department,,
"The street lights in our neighborhood have been out for weeks, making it dangerous to walk at night.",Electricity Department,,
